,team,player,pass_outcome,pass_goal_assist,location,pass_end_location,x,y,endx,endy
11,Barcelona,Sergio Busquets i Burgos,Complete,,"[53.0, 28.0]","[55.0, 65.0]",53.0,28.0,55.0,65.0
28,Barcelona,Sergio Busquets i Burgos,Complete,,"[50.0, 5.0]","[44.0, 2.0]",50.0,5.0,44.0,2.0
33,Barcelona,Sergio Busquets i Burgos,Complete,,"[36.0, 7.0]","[31.0, 7.0]",36.0,7.0,31.0,7.0
50,Barcelona,Sergio Busquets i Burgos,Complete,,"[29.0, 15.0]","[16.0, 7.0]",29.0,15.0,16.0,7.0
52,Barcelona,Sergio Busquets i Burgos,Complete,,"[48.0, 21.0]","[40.0, 62.0]",48.0,21.0,40.0,62.0
130,Barcelona,Sergio Busquets i Burgos,Complete,,"[35.0, 74.0]","[55.0, 73.0]",35.0,74.0,55.0,73.0
141,Barcelona,Sergio Busquets i Burgos,Complete,,"[56.0, 49.0]","[65.0, 40.0]",56.0,49.0,65.0,40.0
166,Barcelona,Sergio Busquets i Burgos,Complete,,"[94.0, 18.0]","[107.0, 15.0]",94.0,18.0,107.0,15.0
179,Barcelona,Sergio Busquets i Burgos,Complete,,"[44.0, 46.0]","[44.0, 31.0]",44.0,46.0,44.0,31.0
208,Barcelona,Sergio Busquets i Burgos,Complete,,"[70.0, 27.0]","[80.0, 4.0]",70.0,27.0,80.0,4.0
222,Barcelona,Sergio Busquets i Burgos,Complete,,"[55.0, 4.0]","[41.0, 29.0]",55.0,4.0,41.0,29.0
246,Barcelona,Sergio Busquets i Burgos,Complete,,"[35.0, 19.0]","[35.0, 47.0]",35.0,19.0,35.0,47.0
257,Barcelona,Sergio Busquets i Burgos,Complete,,"[64.0, 40.0]","[83.0, 28.0]",64.0,40.0,83.0,28.0
274,Barcelona,Sergio Busquets i Burgos,Complete,,"[75.0, 20.0]","[83.0, 14.0]",75.0,20.0,83.0,14.0
284,Barcelona,Sergio Busquets i Burgos,Complete,,"[48.0, 47.0]","[50.0, 27.0]",48.0,47.0,50.0,27.0
300,Barcelona,Sergio Busquets i Burgos,Complete,,"[55.0, 24.0]","[43.0, 28.0]",55.0,24.0,43.0,28.0
310,Barcelona,Sergio Busquets i Burgos,Complete,,"[68.0, 44.0]","[80.0, 33.0]",68.0,44.0,80.0,33.0
320,Barcelona,Sergio Busquets i Burgos,Incomplete,,"[49.0, 12.0]","[91.0, 11.0]",49.0,12.0,91.0,11.0
325,Barcelona,Sergio Busquets i Burgos,Complete,,"[32.0, 17.0]","[40.0, 34.0]",32.0,17.0,40.0,34.0
345,Barcelona,Sergio Busquets i Burgos,Complete,,"[23.0, 54.0]","[36.0, 42.0]",23.0,54.0,36.0,42.0
347,Barcelona,Sergio Busquets i Burgos,Incomplete,,"[58.0, 44.0]","[62.0, 43.0]",58.0,44.0,62.0,43.0
402,Barcelona,Sergio Busquets i Burgos,Complete,,"[43.0, 49.0]","[44.0, 67.0]",43.0,49.0,44.0,67.0
410,Barcelona,Sergio Busquets i Burgos,Complete,,"[22.0, 26.0]","[41.0, 1.0]",22.0,26.0,41.0,1.0
414,Barcelona,Sergio Busquets i Burgos,Complete,,"[41.0, 60.0]","[45.0, 77.0]",41.0,60.0,45.0,77.0
427,Barcelona,Sergio Busquets i Burgos,Complete,,"[48.0, 40.0]","[48.0, 27.0]",48.0,40.0,48.0,27.0
433,Barcelona,Sergio Busquets i Burgos,Unknown,,"[43.0, 20.0]","[43.0, 14.0]",43.0,20.0,43.0,14.0
442,Barcelona,Sergio Busquets i Burgos,Complete,,"[66.0, 20.0]","[78.0, 23.0]",66.0,20.0,78.0,23.0
449,Barcelona,Sergio Busquets i Burgos,Complete,,"[66.0, 32.0]","[57.0, 37.0]",66.0,32.0,57.0,37.0
455,Barcelona,Sergio Busquets i Burgos,Complete,,"[75.0, 32.0]","[54.0, 25.0]",75.0,32.0,54.0,25.0
486,Barcelona,Sergio Busquets i Burgos,Complete,,"[34.0, 20.0]","[45.0, 19.0]",34.0,20.0,45.0,19.0
488,Barcelona,Sergio Busquets i Burgos,Complete,,"[42.0, 33.0]","[51.0, 53.0]",42.0,33.0,51.0,53.0
495,Barcelona,Sergio Busquets i Burgos,Complete,,"[60.0, 36.0]","[66.0, 35.0]",60.0,36.0,66.0,35.0
497,Barcelona,Sergio Busquets i Burgos,Complete,,"[59.0, 37.0]","[60.0, 50.0]",59.0,37.0,60.0,50.0
513,Barcelona,Sergio Busquets i Burgos,Complete,,"[47.0, 35.0]","[49.0, 51.0]",47.0,35.0,49.0,51.0
518,Barcelona,Sergio Busquets i Burgos,Complete,,"[42.0, 22.0]","[43.0, 3.0]",42.0,22.0,43.0,3.0
528,Barcelona,Sergio Busquets i Burgos,Complete,,"[36.0, 39.0]","[36.0, 57.0]",36.0,39.0,36.0,57.0
531,Barcelona,Sergio Busquets i Burgos,Complete,,"[80.0, 40.0]","[79.0, 29.0]",80.0,40.0,79.0,29.0
533,Barcelona,Sergio Busquets i Burgos,Complete,,"[68.0, 31.0]","[70.0, 10.0]",68.0,31.0,70.0,10.0
546,Barcelona,Sergio Busquets i Burgos,Complete,,"[55.0, 18.0]","[49.0, 30.0]",55.0,18.0,49.0,30.0
563,Barcelona,Sergio Busquets i Burgos,Complete,,"[84.0, 26.0]","[79.0, 9.0]",84.0,26.0,79.0,9.0
605,Barcelona,Sergio Busquets i Burgos,Out,,"[98.0, 43.0]","[119.0, 25.0]",98.0,43.0,119.0,25.0
616,Barcelona,Sergio Busquets i Burgos,Complete,,"[39.0, 37.0]","[65.0, 42.0]",39.0,37.0,65.0,42.0
620,Barcelona,Sergio Busquets i Burgos,Incomplete,,"[42.0, 52.0]","[70.0, 51.0]",42.0,52.0,70.0,51.0
637,Barcelona,Sergio Busquets i Burgos,Complete,,"[44.0, 41.0]","[57.0, 45.0]",44.0,41.0,57.0,45.0
639,Barcelona,Sergio Busquets i Burgos,Complete,,"[44.0, 46.0]","[44.0, 71.0]",44.0,46.0,44.0,71.0
641,Barcelona,Sergio Busquets i Burgos,Complete,,"[64.0, 29.0]","[63.0, 12.0]",64.0,29.0,63.0,12.0
653,Barcelona,Sergio Busquets i Burgos,Complete,,"[100.0, 33.0]","[93.0, 40.0]",100.0,33.0,93.0,40.0
657,Barcelona,Sergio Busquets i Burgos,Complete,,"[89.0, 7.0]","[92.0, 7.0]",89.0,7.0,92.0,7.0
696,Barcelona,Sergio Busquets i Burgos,Complete,,"[47.0, 46.0]","[47.0, 19.0]",47.0,46.0,47.0,19.0
700,Barcelona,Sergio Busquets i Burgos,Complete,,"[55.0, 43.0]","[64.0, 44.0]",55.0,43.0,64.0,44.0
702,Barcelona,Sergio Busquets i Burgos,Complete,,"[58.0, 48.0]","[68.0, 61.0]",58.0,48.0,68.0,61.0
708,Barcelona,Sergio Busquets i Burgos,Complete,,"[81.0, 50.0]","[86.0, 55.0]",81.0,50.0,86.0,55.0
763,Barcelona,Sergio Busquets i Burgos,Complete,,"[63.0, 71.0]","[57.0, 78.0]",63.0,71.0,57.0,78.0
799,Barcelona,Sergio Busquets i Burgos,Complete,,"[36.0, 67.0]","[47.0, 49.0]",36.0,67.0,47.0,49.0
818,Barcelona,Sergio Busquets i Burgos,Complete,,"[79.0, 24.0]","[75.0, 38.0]",79.0,24.0,75.0,38.0
831,Barcelona,Sergio Busquets i Burgos,Complete,,"[53.0, 52.0]","[62.0, 48.0]",53.0,52.0,62.0,48.0
835,Barcelona,Sergio Busquets i Burgos,Complete,,"[67.0, 40.0]","[73.0, 46.0]",67.0,40.0,73.0,46.0
837,Barcelona,Sergio Busquets i Burgos,Complete,,"[69.0, 41.0]","[75.0, 47.0]",69.0,41.0,75.0,47.0
882,Barcelona,Sergio Busquets i Burgos,Complete,,"[73.0, 47.0]","[73.0, 34.0]",73.0,47.0,73.0,34.0
886,Barcelona,Sergio Busquets i Burgos,Complete,,"[64.0, 42.0]","[57.0, 51.0]",64.0,42.0,57.0,51.0
888,Barcelona,Sergio Busquets i Burgos,Complete,,"[74.0, 49.0]","[72.0, 36.0]",74.0,49.0,72.0,36.0
892,Barcelona,Sergio Busquets i Burgos,Complete,,"[72.0, 47.0]","[70.0, 35.0]",72.0,47.0,70.0,35.0
899,Barcelona,Sergio Busquets i Burgos,Complete,,"[75.0, 29.0]","[86.0, 25.0]",75.0,29.0,86.0,25.0
915,Barcelona,Sergio Busquets i Burgos,Complete,True,"[105.0, 55.0]","[98.0, 43.0]",105.0,55.0,98.0,43.0
942,Barcelona,Sergio Busquets i Burgos,Complete,,"[45.0, 46.0]","[51.0, 35.0]",45.0,46.0,51.0,35.0
944,Barcelona,Sergio Busquets i Burgos,Complete,,"[43.0, 41.0]","[47.0, 39.0]",43.0,41.0,47.0,39.0
948,Barcelona,Sergio Busquets i Burgos,Complete,,"[42.0, 61.0]","[58.0, 69.0]",42.0,61.0,58.0,69.0
951,Barcelona,Sergio Busquets i Burgos,Complete,,"[59.0, 60.0]","[64.0, 62.0]",59.0,60.0,64.0,62.0
990,Barcelona,Sergio Busquets i Burgos,Complete,,"[43.0, 42.0]","[54.0, 44.0]",43.0,42.0,54.0,44.0
992,Barcelona,Sergio Busquets i Burgos,Complete,,"[45.0, 39.0]","[40.0, 23.0]",45.0,39.0,40.0,23.0
995,Barcelona,Sergio Busquets i Burgos,Complete,,"[64.0, 23.0]","[63.0, 33.0]",64.0,23.0,63.0,33.0
1015,Barcelona,Sergio Busquets i Burgos,Complete,,"[62.0, 55.0]","[60.0, 32.0]",62.0,55.0,60.0,32.0
1020,Barcelona,Sergio Busquets i Burgos,Complete,,"[57.0, 40.0]","[55.0, 51.0]",57.0,40.0,55.0,51.0
1022,Barcelona,Sergio Busquets i Burgos,Complete,,"[60.0, 38.0]","[75.0, 10.0]",60.0,38.0,75.0,10.0
1048,Barcelona,Sergio Busquets i Burgos,Complete,,"[20.0, 55.0]","[20.0, 68.0]",20.0,55.0,20.0,68.0
1062,Barcelona,Sergio Busquets i Burgos,Complete,,"[65.0, 48.0]","[62.0, 49.0]",65.0,48.0,62.0,49.0
1086,Barcelona,Sergio Busquets i Burgos,Complete,,"[45.0, 12.0]","[35.0, 16.0]",45.0,12.0,35.0,16.0
1089,Barcelona,Sergio Busquets i Burgos,Unknown,,"[46.0, 12.0]","[65.0, 30.0]",46.0,12.0,65.0,30.0
1110,Barcelona,Sergio Busquets i Burgos,Complete,,"[38.0, 59.0]","[21.0, 68.0]",38.0,59.0,21.0,68.0
1115,Barcelona,Sergio Busquets i Burgos,Complete,,"[57.0, 78.0]","[61.0, 76.0]",57.0,78.0,61.0,76.0
1116,Barcelona,Sergio Busquets i Burgos,Complete,,"[59.0, 77.0]","[56.0, 64.0]",59.0,77.0,56.0,64.0
1136,Barcelona,Sergio Busquets i Burgos,Unknown,,"[55.0, 19.0]","[56.0, 11.0]",55.0,19.0,56.0,11.0
1143,Barcelona,Sergio Busquets i Burgos,Complete,,"[51.0, 22.0]","[69.0, 9.0]",51.0,22.0,69.0,9.0
1215,Barcelona,Sergio Busquets i Burgos,Complete,,"[63.0, 41.0]","[57.0, 44.0]",63.0,41.0,57.0,44.0
1219,Barcelona,Sergio Busquets i Burgos,Complete,,"[64.0, 32.0]","[64.0, 41.0]",64.0,32.0,64.0,41.0
